ID;Lat;Long;USERS_TOT;USERS_O;USERS_G;USERS_FS;USERS_MAM;primary;tree_ri;ghm;heght;psri;npp;vcf;notho_ri;biomass;BIOMA
5511;-4749987.499;-8041758.166;20.387408;8.921764;8.071602;4.510386;2.810163;2.796358;10.856069;0.272041;19.409555;-0.046314;12218.15385;29.974359;2.702592;70.50847;1
5542;-4734790.786;-8054918.906;20.640067;8.964463;8.410869;4.3833;3.116158;2.603535;8.894779;0.316438;12.204297;-0.030132;11502.46154;19.948718;2.181213;43.802612;1
5557;-4727192.429;-8081240.387;18.298139;7.994323;6.700603;4.166759;2.90982;2.645893;10.305257;0.335623;18.957889;-0.047976;14039.35897;50.102564;2.07726;86.191705;1
5573;-4719594.072;-8094401.127;15.5892;6.746571;5.362198;3.581338;2.763581;2.450926;9.790829;0.42077;23.860864;-0.067008;15888.475;65.225;1.774922;111.899563;1
5574;-4719594.072;-8068079.646;20.758414;8.97719;8.151733;4.498062;3.245784;2.697672;9.278584;0.284017;16.727363;-0.00263;11355.66667;30.128205;2.227579;62.984543;1
5590;-4711995.715;-8081240.387;20.888861;9.062952;8.408888;4.389282;3.514226;2.499022;7.851444;0.315269;14.751513;0.006862;10798.76923;25.487179;1.702041;38.341424;1
5591;-4711995.715;-8054918.906;21.500971;9.303891;8.720517;4.532305;3.300613;2.78597;9.281602;0.299268;15.001708;-0.016729;10881.58974;24.641026;2.385797;50.321481;1
5605;-4704397.358;-8094401.127;16.472802;7.210793;5.943359;3.652728;2.819724;2.415659;8.394795;0.450374;19.900453;-0.051944;14686.425;51.9;1.596744;100.981869;1
5606;-4704397.358;-8068079.646;20.431823;8.828478;8.167609;4.397223;3.304282;2.521434;8.256492;0.308072;16.23228;-0.009844;9994.289474;25.894737;1.798751;39.183787;1
5607;-4704397.358;-8041758.166;19.721148;8.556123;7.616115;4.296209;2.891353;2.70221;10.042963;0.297172;16.772003;-0.026878;12545.89744;36.538462;2.467782;67.194708;1
5622;-4696799.001;-8081240.387;19.13132;8.399107;7.713567;3.949891;3.227975;2.424176;7.031716;0.373211;11.881689;-0.032026;11806.23077;29.641026;1.509191;46.936047;1
5623;-4696799.001;-8054918.906;19.470647;8.495555;7.410308;4.225704;2.976546;2.672516;8.993042;0.39926;18.799426;-0.040312;12928.57895;42.394737;1.891515;74.59859;1
5624;-4696799.001;-8028597.426;19.497299;8.543458;7.594443;4.290845;2.92728;2.726424;10.626505;0.243532;16.027703;-0.04175;12554.55;38.2;2.795668;63.273391;1
5637;-4689200.645;-8107561.867;19.129153;8.277036;7.760031;3.750235;3.362339;2.157061;5.806214;0.62812;11.917393;-0.006974;10676.92683;17.926829;1.313494;28.092445;1
5638;-4689200.645;-8068079.646;17.043948;7.393542;6.686259;3.434434;3.004751;2.050283;6.277058;0.633135;15.242497;-0.026422;12926.25641;26.307692;1.272392;40.214419;1
5639;-4689200.645;-8041758.166;18.78922;8.176088;7.388227;4.009374;2.998923;2.581459;8.898513;0.688552;17.85275;-0.026569;12460.33333;32.692308;2.299492;63.627124;1
5654;-4681602.288;-8094401.127;16.407675;7.129157;6.607721;2.996553;2.944808;1.822115;5.117664;0.470065;9.474223;-0.029294;13037.95;24.275;1.118213;30.399096;1
5655;-4681602.288;-8054918.906;20.959313;9.003594;8.428663;4.536092;3.389451;2.514012;8.833453;0.642723;16.979245;0.025339;9141.789474;24.394737;2.141771;29.6056;1
